job_id,job_name,status,user,target,dataset,algorithm,community_cost_eur,cost_bau_eur,cost_delta_to_bau_eur,cost_ratio_to_bau,ev_min_acceptable_feasible_rate,ev_within_tolerance_feasible_rate,electrical_violation_kwh,peak_daily_ratio_to_bau,peak_all_time_ratio_to_bau,community_import_kwh,community_export_kwh,community_solar_self_consumption_rate,battery_throughput_kwh,v2g_export_kwh
503c119a-2e33-43c6-9ee1-0b3e493707e0,22m-smart-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,RBCSmartPolicy,31975.16937516475,39934.98336570454,-7959.8139905397875,0.800680673442435,1.0,0.982335976928623,0.0,0.677173728519605,0.806043654546648,194648.35786232937,3.481546700000763,0.9999042362368502,4710.632353799418,54.45016074925661
eed07d0f-046a-49b5-ab87-160e25dc74f7,22m-mctx4h-456-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32042.860745259866,39934.98336570454,-7892.122620444672,0.8023757128387266,1.0,0.9704397981254506,0.0,0.6764994562288921,0.8048611856405716,194993.4723953001,158.61880735028535,0.9956370156119979,4538.830181801037,83.64278295836769
aebadd56-f14f-4e13-9400-ac495d282ebc,22c-sm10-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32157.98514857592,39934.98336570454,-7776.998217128617,0.8052585086636754,1.0,0.9859408795962509,0.0,0.6874478389993351,0.8029168488073741,195660.35561972635,4.494703747332096,0.9998763682402744,6237.164995352594,185.56160754630824
c1ab3190-48a3-4fe9-924f-5e73062cd21f,22c-sm18-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32362.991933349316,39934.98336570454,-7571.991432355222,0.810392022377605,1.0,0.9812545061283345,0.0,0.6841962124767716,0.7756749451259847,196804.57762346533,1.3990776389837265,0.9999615168339842,12349.286327690917,269.7335623969162
9e4842cd-bb32-4362-a32b-d0743e63dd91,22c-stor-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32348.476728839694,39934.98336570454,-7586.506636864844,0.8100285514734932,1.0,0.9787310742609949,0.0,0.6843919798279735,0.7774507022123361,196634.04125085144,2.23056295607239,0.9999386459177422,10748.160980734796,236.38586444007603
e39889d8-c624-4a7d-9091-ac2f8c339258,22c-push-fy,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32474.31664751901,39934.98336570454,-7460.66671818553,0.8131796713206442,1.0,0.9733237202595529,0.0,0.6794009297524247,0.7783741425896137,197376.24902646025,9.909208677709103,0.9997274363394826,9731.997210893885,309.24876900372504
858946b2-b65c-45f2-9ce6-7d0a1ee9353d,h-m4-789,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22863.78359015706,28598.350802373392,-5734.5672122163305,0.7994790940273235,0.9996395097332372,0.9444844989185291,0.0,0.7664731558190433,0.7915619876464489,137799.48646407656,45143.22499694116,0.6928632357484092,31887.400648153147,264.6280678460186
36cc64a0-00fd-49d1-adb1-454b9d61e65d,h-m4-999,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22851.294125064225,28598.350802373392,-5747.056677309167,0.799042374260539,0.9992790194664743,0.9524152847873107,0.0,0.766992681491212,0.7889359938591375,137857.3468469035,45357.10299840072,0.6906958838621957,32127.49265492768,275.20968374092894
a04031ad-95e1-4541-984d-1742337c737f,h-m6-123,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22938.94487045349,28598.350802373392,-5659.4059319199005,0.8021072623722686,0.998197548666186,0.9556596971881759,0.0,0.765015118910212,0.7934538994773168,138162.85020705685,46261.28832733585,0.6847955665802339,29974.76186421988,241.11283331700628
f8b261c8-9540-4874-82af-49f1deb5df64,h-m6-456,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs,MATD3,22895.532170900267,28598.350802373392,-5702.818631473125,0.8005892482793153,1.0,0.9365537130497477,0.0,0.7675293530736343,0.7899812910017132,138035.48375857357,45568.03798295278,0.6899054289320311,31096.430636465255,266.7022806174247
850655d1-7467-4d33-8c89-985b609ca6fd,m15-p15,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32136.2999693791,39934.98336570454,-7798.683396325439,0.8047154965632761,1.0,0.9938716654650325,0.0,0.6897362869894542,0.7706231154719517,195472.69644725107,196.02287585288286,0.994608175655055,5363.524663512879,227.99909096490012
d00b8395-c9da-42ca-a72a-6e9788a18cb4,m15-htr,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32042.860745259866,39934.98336570454,-7892.122620444672,0.8023757128387266,1.0,0.9704397981254506,0.0,0.6764994562288921,0.8048611856405716,194993.4723953001,158.61880735028535,0.9956370156119979,4538.830181801037,83.64278295836769
e3b57d34-3b78-48ca-8f47-d94695ae6a77,m15-sm10,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32157.98514857592,39934.98336570454,-7776.998217128617,0.8052585086636754,1.0,0.9859408795962509,0.0,0.6874478389993351,0.8029168488073741,195660.35561972635,4.494703747332096,0.9998763682402744,6237.164995352594,185.56160754630824
5ab94237-8da3-49ec-9b54-e8ef3f58e270,m15-sm18,finished,Tiago Fonseca,server,citylearn_challenge_2022_phase_all_plus_evs_15min_parquet,MATD3,32362.991933349316,39934.98336570454,-7571.991432355222,0.810392022377605,1.0,0.9812545061283345,0.0,0.6841962124767716,0.7756749451259847,196804.57762346533,1.3990776389837265,0.9999615168339842,12349.286327690917,269.7335623969162
dec5d611-4eb3-4742-8c77-60d9bb31a6a0,15t-mctx4-fy,finished,Tiago Fonseca,tiago-laptop,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,22731.44540314992,27303.0466934801,-4571.601290330182,0.8325607635787449,0.9989094874591058,0.9894583787713559,2.139282180865848,0.8657055955672796,1.2240347155674407,136233.09091089547,48112.23480136739,0.673880857780573,31752.72990002011,195.14855957067516
f7dbed6b-b9d3-460b-8d8a-dfccbed944ce,15t-cost4-fy-srv-r2,finished,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,22664.58898813118,27303.0466934801,-4638.457705348919,0.8301120839215145,0.9974554707379135,0.9865503453289712,0.00724479672499001,0.8594861742685412,1.0493629746183661,135904.005220926,47804.243172299466,0.6756848930130666,32617.03834590079,179.8418562866333
6ebc3836-cec2-491f-b058-2b8fc84022d2,15t-free4-fy-srv-r2,failed,Tiago Fonseca,server,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,,,,,,,,,,,,,,
b60ce420-f860-4851-87a6-a8d085930414,j-xav-mat-4096-r6,finished,Tiago Fonseca,jetson-xavier,citylearn_three_phase_electrical_service_demo_15min_parquet,MATD3,2800.5278921511326,3159.9350916864205,-359.4071995352879,0.8862612081871984,1.0,0.9968847352024922,0.0,0.7730140505529484,0.7704486187052272,17059.81943772728,5085.398808553294,0.7280947220815088,3252.555527469609,43.18592116236687
